,text,newText
667,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
668,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
669,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
670,@thetrotter13 Enjoying Rottnest Island ☀️ #rottnestisland #seaandsunsets #discoveryparkrottnest #glamping https://t.co/UQ2U8oQRFC,"[' ', 'Enjoying', 'Rottnest', 'Island', '   ', '#ottnestisland', '#eaandsunsets', '#iscoveryparkrottnest', '#lamping']"
671,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
672,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
673,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
674,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
675,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
676,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
677,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
678,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
679,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
680,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
681,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
682,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
683,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
684,@SethMacFarlane 😩 but that means a super long wait until more @TheOrville,"['   ', 'means', 'super', 'long', 'wait']"
685,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
686,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
687,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
688,@SethMacFarlane 😩 but that means a super long wait until more @TheOrville,"['   ', 'means', 'super', 'long', 'wait']"
689,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
690,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
691,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
692,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
693,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
