,text,newText
790,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
791,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
792,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
793,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
794,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
795,@GaryRMartin3 Does being Canadian give us an exception??? Sorry eh.,"[' ', 'Canadian', 'exception', '   ', 'Sorry', 'eh']"
796,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
797,@thetrotter13 Enjoying Rottnest Island ☀️ #rottnestisland #seaandsunsets #discoveryparkrottnest #glamping https://t.co/UQ2U8oQRFC,"[' ', 'Enjoying', 'Rottnest', 'Island', '   ', '#ottnestisland', '#eaandsunsets', '#iscoveryparkrottnest', '#lamping']"
798,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
799,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
800,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
801,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
802,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
803,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
804,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
805,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
806,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
